milestone,m,inner_steps,seed,psnr_feasible,psnr_raw,ssim,ms_per_img,feas_raw,feas_polished
1,2,24,0,26.6688,26.6640,0.7175,10.04,0.9776,0.9697
1,2,24,1,26.6685,26.6638,0.7175,9.63,0.9776,0.9697
1,2,24,2,26.6679,26.6631,0.7175,13.47,0.9774,0.9696
1,3,36,0,26.7708,26.7639,0.7169,15.04,1.0040,0.9951
1,3,36,1,26.7707,26.7638,0.7169,20.04,1.0039,0.9951
1,3,36,2,26.7702,26.7635,0.7169,18.42,1.0038,0.9950
1,5,60,0,26.7996,26.7991,0.7137,23.74,1.0068,1.0065
1,5,60,1,26.7995,26.7991,0.7137,22.18,1.0068,1.0065
1,5,60,2,26.7992,26.7987,0.7138,24.73,1.0068,1.0065
2,2,24,0,11.2172,11.2165,0.2962,10.60,0.6531,0.6054
2,2,24,1,22.1140,22.1196,0.6851,15.29,1.0486,0.9978
2,2,24,2,18.4335,18.3553,0.5051,11.59,0.9240,0.8278
2,3,36,0,20.7592,20.5905,0.5521,19.81,0.9690,0.8665
2,3,36,1,16.0483,15.7167,0.4079,20.38,1.2703,0.9808
2,3,36,2,22.4979,22.2119,0.5976,20.44,1.1650,0.9650
2,5,60,0,26.7537,26.7425,0.7078,28.78,1.0114,1.0012
2,5,60,1,26.1947,26.1736,0.6918,30.74,1.0177,1.0018
2,5,60,2,22.2430,22.1970,0.6118,24.84,0.8797,0.8336
