milestone,m,inner_steps,seed,psnr_feasible,psnr_raw,ssim,ms_per_img,feas_raw,feas_polished
1,2,24,0,26.4204,26.5258,0.7009,9.01,1.0262,0.9976
1,2,24,1,26.4184,26.5237,0.7008,12.13,1.0262,0.9976
1,2,24,2,26.4174,26.5226,0.7008,12.57,1.0260,0.9976
1,3,36,0,26.6647,26.7489,0.7044,15.28,1.0212,1.0017
1,3,36,1,26.6628,26.7469,0.7044,15.00,1.0212,1.0017
1,3,36,2,26.6617,26.7456,0.7044,26.24,1.0211,1.0017
1,5,60,0,26.8245,26.8742,0.7061,24.34,1.0134,1.0023
1,5,60,1,26.8230,26.8727,0.7061,21.89,1.0134,1.0023
1,5,60,2,26.8220,26.8715,0.7061,27.30,1.0133,1.0023
2,2,24,0,19.5192,19.3270,0.5207,14.37,1.4165,1.0046
2,2,24,1,9.3766,9.3766,0.1812,13.49,0.4708,0.4708
2,2,24,2,25.8955,25.9079,0.6701,13.52,1.1298,1.0028
2,3,36,0,25.9608,26.0643,0.7060,22.37,1.0581,1.0024
2,3,36,1,17.7079,17.6052,0.4723,17.74,1.3196,1.0064
2,3,36,2,19.9406,19.8411,0.5356,23.30,1.2855,1.0036
2,5,60,0,26.8393,26.9047,0.7051,25.68,1.0327,1.0024
2,5,60,1,26.2949,26.3346,0.6778,25.60,1.0412,1.0025
2,5,60,2,26.5976,26.6757,0.7126,27.37,1.0330,1.0026
