cau_hinh,psnr,phan_du_cuoi,tong_buoc_noi,vi_pham_tv,giay,buoc_toi_muc_tieu,re_hon_moc
adaptive e0.5_p1.01,26.6505,5.643385e-03,282838,1.0000,427.5,6838,0.84x
adaptive e0.5_p1.05,26.6501,5.625600e-03,334155,1.0000,651.6,58155,0.10x
adaptive e0.5_p1.1,26.6499,5.618175e-03,378746,1.0000,729.9,102746,0.06x
adaptive e0.5_p1.5,26.6497,5.612619e-03,522808,1.0000,988.8,246808,0.02x
adaptive e1.0_p1.01,26.6699,6.525721e-03,1393,1.0000,49.0,714,8.07x
adaptive e1.0_p1.05,26.6606,6.070891e-03,87361,1.0000,203.7,811,7.11x
adaptive e1.0_p1.1,26.6547,5.802789e-03,186279,1.0000,389.9,986,5.84x
adaptive e1.0_p1.5,26.6500,5.615594e-03,477919,1.0000,879.9,201919,0.03x
adaptive e2.0_p1.01,26.7422,1.149203e-02,486,1.0000,46.9,448,12.86x
adaptive e2.0_p1.05,26.7213,9.655818e-03,586,1.0000,46.6,477,12.08x
adaptive e2.0_p1.1,26.6952,7.896587e-03,781,1.0000,47.7,536,10.75x
adaptive e2.0_p1.5,26.6509,5.636946e-03,407325,1.0000,754.6,131325,0.04x
adaptive e4.0_p1.01,26.7926,1.897261e-02,280,1.0000,45.8,khong dat,-
adaptive e4.0_p1.05,26.7816,1.647777e-02,316,1.0000,47.8,khong dat,-
adaptive e4.0_p1.1,26.7628,1.350927e-02,375,1.0000,47.5,khong dat,-
adaptive e4.0_p1.5,26.6544,5.733818e-03,297951,1.0000,568.8,41951,0.14x
exact_bound 0.02,26.7484,1.272417e-02,5772,1.0000,55.8,5763,1.00x
exact_bound 0.05,26.7998,3.452637e-02,1863,1.0000,48.3,khong dat,-
