k,resid
0,5.00000902e-02
1,3.54503356e-02
2,1.66665912e-02
3,1.25000840e-02
4,9.99998953e-03
5,8.33337195e-03
6,7.14295404e-03
7,6.25003362e-03
8,5.55552728e-03
9,4.99999197e-03
10,4.54550004e-03
11,4.16665990e-03
12,3.84624978e-03
13,3.57148959e-03
14,3.33338953e-03
15,3.12500889e-03
16,2.94123963e-03
17,2.77786283e-03
18,2.63167499e-03
19,2.50000367e-03
20,2.38099531e-03
21,2.27277353e-03
22,2.17385124e-03
23,2.08330411e-03
24,1.99992815e-03
25,1.92309811e-03
26,1.85190770e-03
27,1.78568054e-03
28,1.72419415e-03
29,1.66653714e-03
30,1.61293405e-03
31,1.56252773e-03
32,1.51516555e-03
33,1.47049583e-03
34,1.42857630e-03
35,1.38894375e-03
36,1.35139748e-03
37,1.31576962e-03
38,1.28215482e-03
39,1.25000707e-03
40,1.21953711e-03
41,1.19050732e-03
42,1.16285263e-03
43,1.13625382e-03
44,1.11094548e-03
45,1.08694448e-03
46,1.06385071e-03
47,1.04160223e-03
48,1.02043804e-03
49,9.99962445e-04
50,9.80389072e-04
51,9.61565413e-04
52,9.43425985e-04
53,9.25901695e-04
54,9.09112394e-04
55,8.92884447e-04
56,8.77216982e-04
57,8.62049346e-04
58,8.47470132e-04
59,8.33274913e-04
60,8.19711422e-04
61,8.06491880e-04
62,7.93667568e-04
63,7.81151524e-04
64,7.69319886e-04
65,7.57564208e-04
66,7.46265869e-04
67,7.35358044e-04
68,7.24559999e-04
69,7.14266265e-04
70,7.04197213e-04
71,6.94397779e-04
72,6.84932049e-04
73,6.75676158e-04
74,6.66652166e-04
75,6.57893368e-04
76,6.49368274e-04
77,6.41051389e-04
78,6.32852549e-04
79,6.25002431e-04
80,6.17260870e-04
81,6.09751674e-04
82,6.02472865e-04
83,5.95151039e-04
84,5.88224211e-04
85,5.81368047e-04
86,5.74588776e-04
87,5.68207179e-04
88,5.61781460e-04
89,5.55506034e-04
90,5.49375836e-04
91,5.43443370e-04
92,5.37717482e-04
93,5.31992875e-04
94,5.26333519e-04
95,5.20748901e-04
96,5.15416206e-04
97,5.10250393e-04
98,5.05035627e-04
99,5.00115275e-04
100,4.95157379e-04
101,4.90102044e-04
102,4.85446712e-04
103,4.80742397e-04
104,4.76236164e-04
105,4.71713895e-04
106,4.67230653e-04
107,4.62982309e-04
108,4.58749477e-04
109,4.54486406e-04
110,4.50379681e-04
111,4.46494203e-04
112,4.42516233e-04
113,4.38556221e-04
114,4.34710615e-04
115,4.31029766e-04
116,4.27379477e-04
117,4.23654303e-04
118,4.20083379e-04
119,4.16793657e-04
120,4.13299742e-04
121,4.09814034e-04
122,4.06512991e-04
123,4.03314858e-04
124,3.99986049e-04
125,3.96840449e-04
126,3.93695576e-04
127,3.90644593e-04
128,3.87649634e-04
