config,blur,mode,K,size,beta0,L,lambda,psnr_final,resid_final,e_final,total_inner,time_alg_s,time_total_s
gauss_m1,gauss,m1,150,64,0.05,0.972209,0.383449,24.4075,2.654845e-02,2.055822e-02,150,0.365,75.108
gauss_m2,gauss,m2,150,64,0.05,0.972209,0.383449,24.3458,1.241933e-02,6.476143e-03,300,0.683,80.616
gauss_m5,gauss,m5,150,64,0.05,0.972209,0.383449,24.2513,5.919595e-03,1.189712e-03,750,1.539,82.149
gauss_mlog,gauss,mlog,150,64,0.05,0.972209,0.383449,24.2240,4.615409e-03,1.408963e-04,1428,2.852,83.209
gauss_exact,gauss,exact,150,64,0.05,0.972209,0.383449,24.3884,2.901515e-02,2.821541e-02,387,0.900,312.503
gauss_epsconst,gauss,epsconst,150,64,0.05,0.972209,0.383449,23.9960,1.017640e-01,1.009626e-01,111,0.369,311.392
motion_m1,motion,m1,150,64,0.05,0.982412,0.379466,25.1146,1.225249e-01,1.158783e-01,150,0.408,150.496
motion_m2,motion,m2,150,64,0.05,0.982412,0.379466,25.2013,2.232079e-02,1.589394e-02,300,0.687,118.585
motion_m5,motion,m5,150,64,0.05,0.982412,0.379466,25.1932,9.027985e-03,4.129803e-03,750,1.574,110.075
motion_mlog,motion,mlog,150,64,0.05,0.982412,0.379466,25.1795,5.158807e-03,6.999947e-04,1428,2.905,119.167
motion_exact,motion,exact,150,64,0.05,0.982412,0.379466,25.0738,2.916451e-02,2.830098e-02,1688,3.410,319.682
motion_epsconst,motion,epsconst,150,64,0.05,0.982412,0.379466,23.9803,1.403139e-01,1.395367e-01,442,1.010,312.796
