k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
0,0,6.933427e-02,4.827696e-03,2.553030e+00,3.464189e-01,2.308661e+01,3.500000e+01,3.500000e+01,1.014099e+00,nan,3.000000e-01,5.000000e-02,3.500000e+01
0,1,6.178620e-03,1.559448e-04,1.901007e+00,5.530434e-01,2.181468e+01,3.500000e+01,3.500000e+01,1.000320e+00,nan,3.000000e-01,5.000000e-02,3.500000e+01
0,2,2.240870e-02,5.250134e-04,2.345438e+00,5.554131e-01,2.179277e+01,3.500000e+01,3.500000e+01,1.002993e+00,nan,3.000000e-01,5.000000e-02,3.500000e+01
1,0,nan,nan,3.283083e-01,nan,2.330714e+01,2.500000e+01,6.000000e+01,9.836997e-01,3.711608e-05,4.896143e-03,2.500000e-02,2.500000e+01
1,1,nan,nan,4.198696e-01,nan,2.221443e+01,2.500000e+01,6.000000e+01,9.995365e-01,4.349506e-07,6.575463e-03,2.500000e-02,2.500000e+01
1,2,nan,nan,4.238668e-01,nan,2.218385e+01,2.500000e+01,6.000000e+01,1.002816e+00,7.152557e-07,5.329495e-03,2.500000e-02,2.500000e+01
2,0,nan,nan,1.905731e-01,nan,2.347189e+01,1.100000e+01,7.100000e+01,9.835220e-01,nan,1.692176e-02,1.666667e-02,1.100000e+01
2,1,nan,nan,3.422771e-01,nan,2.252674e+01,1.100000e+01,7.100000e+01,1.000628e+00,nan,1.323162e-02,1.666667e-02,1.100000e+01
2,2,nan,nan,3.397192e-01,nan,2.250004e+01,1.100000e+01,7.100000e+01,9.983982e-01,nan,1.310684e-02,1.666667e-02,1.100000e+01
3,0,nan,nan,1.326239e-01,nan,2.358825e+01,4.000000e+00,7.500000e+01,9.910418e-01,nan,1.639791e-02,1.250000e-02,4.000000e+00
3,1,nan,nan,2.134412e-01,nan,2.271842e+01,4.000000e+00,7.500000e+01,9.995825e-01,nan,9.130030e-03,1.250000e-02,4.000000e+00
3,2,nan,nan,2.137273e-01,nan,2.269431e+01,4.000000e+00,7.500000e+01,9.972736e-01,nan,9.198773e-03,1.250000e-02,4.000000e+00
4,0,nan,nan,1.038554e-01,nan,2.368053e+01,3.000000e+00,7.800000e+01,9.982928e-01,nan,1.508023e-02,1.000000e-02,3.000000e+00
4,1,nan,nan,1.737516e-01,nan,2.286794e+01,3.000000e+00,7.800000e+01,9.988350e-01,nan,9.370263e-03,1.000000e-02,3.000000e+00
4,2,nan,nan,1.729713e-01,nan,2.284550e+01,3.000000e+00,7.800000e+01,9.973704e-01,nan,9.357720e-03,1.000000e-02,3.000000e+00
5,0,6.467252e-02,4.381113e-03,9.645495e-02,1.628752e-01,2.376586e+01,3.000000e+00,8.100000e+01,1.005377e+00,nan,1.337329e-02,8.333334e-03,3.000000e+00
5,1,1.057704e-01,2.631318e-03,1.589823e-01,2.830958e-01,2.300025e+01,3.000000e+00,8.100000e+01,9.987783e-01,nan,7.993533e-03,8.333334e-03,3.000000e+00
5,2,1.053391e-01,2.435850e-03,1.585329e-01,2.819690e-01,2.298054e+01,3.000000e+00,8.100000e+01,9.983818e-01,nan,8.029591e-03,8.333334e-03,3.000000e+00
6,0,nan,nan,8.764497e-02,nan,2.384278e+01,3.000000e+00,8.400000e+01,1.010403e+00,nan,1.057912e-02,7.142857e-03,3.000000e+00
