k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
0,0,1.428287e-02,9.945061e-04,2.563804e+00,3.421827e-01,2.307461e+01,1.100000e+02,1.100000e+02,1.001837e+00,nan,3.000000e-01,5.000000e-02,1.100000e+02
0,1,1.100340e-03,2.777193e-05,1.901311e+00,5.529990e-01,2.181492e+01,1.100000e+02,1.100000e+02,1.000017e+00,nan,3.000000e-01,5.000000e-02,1.100000e+02
0,2,4.098390e-03,9.602118e-05,2.348103e+00,5.550787e-01,2.179562e+01,1.100000e+02,1.100000e+02,1.000215e+00,nan,3.000000e-01,5.000000e-02,1.100000e+02
1,0,nan,nan,3.218106e-01,nan,2.332643e+01,4.800000e+01,1.580000e+02,9.999074e-01,5.777818e-05,4.875568e-03,2.500000e-02,4.800000e+01
1,1,nan,nan,4.200094e-01,nan,2.221423e+01,4.800000e+01,1.580000e+02,1.000003e+00,3.722309e-07,6.574412e-03,2.500000e-02,4.800000e+01
1,2,nan,nan,4.250570e-01,nan,2.218695e+01,4.800000e+01,1.580000e+02,1.000018e+00,3.385418e-06,5.323445e-03,2.500000e-02,4.800000e+01
2,0,nan,nan,1.916818e-01,nan,2.350307e+01,1.900000e+01,1.770000e+02,9.987636e-01,nan,1.726343e-02,1.666667e-02,1.900000e+01
2,1,nan,nan,3.533254e-01,nan,2.253710e+01,1.900000e+01,1.770000e+02,1.000048e+00,nan,1.322722e-02,1.666667e-02,1.900000e+01
2,2,nan,nan,3.500091e-01,nan,2.250830e+01,1.900000e+01,1.770000e+02,1.000400e+00,nan,1.307014e-02,1.666667e-02,1.900000e+01
3,0,nan,nan,1.733488e-01,nan,2.365472e+01,1.000000e+01,1.870000e+02,1.001880e+00,nan,1.630306e-02,1.250000e-02,1.000000e+01
3,1,nan,nan,2.823644e-01,nan,2.278693e+01,1.000000e+01,1.870000e+02,1.000223e+00,nan,8.844539e-03,1.250000e-02,1.000000e+01
3,2,nan,nan,2.819748e-01,nan,2.276173e+01,1.000000e+01,1.870000e+02,1.000293e+00,nan,8.928341e-03,1.250000e-02,1.000000e+01
4,0,nan,nan,1.428448e-01,nan,2.377857e+01,9.000000e+00,1.960000e+02,1.002811e+00,nan,1.153743e-02,1.000000e-02,9.000000e+00
4,1,nan,nan,2.427596e-01,nan,2.299202e+01,9.000000e+00,1.960000e+02,1.000075e+00,nan,7.083047e-03,1.000000e-02,9.000000e+00
4,2,nan,nan,2.417450e-01,nan,2.297271e+01,9.000000e+00,1.960000e+02,9.998601e-01,nan,7.092832e-03,1.000000e-02,9.000000e+00
5,0,1.347795e-02,9.115339e-04,1.292673e-01,1.437532e-01,2.388551e+01,1.000000e+01,2.060000e+02,1.003313e+00,nan,9.723061e-03,8.333334e-03,1.000000e+01
5,1,1.077651e-02,2.678491e-04,2.142464e-01,2.480113e-01,2.316561e+01,1.000000e+01,2.060000e+02,1.000091e+00,nan,5.721253e-03,8.333334e-03,1.000000e+01
5,2,1.089864e-02,2.518141e-04,2.142472e-01,2.476616e-01,2.315460e+01,1.000000e+01,2.060000e+02,1.000061e+00,nan,5.745263e-03,8.333334e-03,1.000000e+01
6,0,nan,nan,1.115873e-01,nan,2.397348e+01,9.000000e+00,2.150000e+02,1.002842e+00,nan,7.893781e-03,7.142857e-03,9.000000e+00
6,1,nan,nan,1.834666e-01,nan,2.330781e+01,9.000000e+00,2.150000e+02,1.000033e+00,nan,4.762779e-03,7.142857e-03,9.000000e+00
6,2,nan,nan,1.838467e-01,nan,2.330682e+01,9.000000e+00,2.150000e+02,9.999881e-01,nan,4.762760e-03,7.142857e-03,9.000000e+00
7,0,nan,nan,9.837300e-02,nan,2.404665e+01,8.000000e+00,2.230000e+02,1.002301e+00,nan,7.001245e-03,6.250000e-03,8.000000e+00
7,1,nan,nan,1.589848e-01,nan,2.342545e+01,8.000000e+00,2.230000e+02,1.000017e+00,nan,4.258268e-03,6.250000e-03,8.000000e+00
7,2,nan,nan,1.598360e-01,nan,2.343552e+01,8.000000e+00,2.230000e+02,9.999077e-01,nan,4.249465e-03,6.250000e-03,8.000000e+00
8,0,nan,nan,8.631334e-02,nan,2.410758e+01,7.000000e+00,2.300000e+02,1.001906e+00,nan,6.274933e-03,5.555556e-03,7.000000e+00
8,1,nan,nan,1.377201e-01,nan,2.352287e+01,7.000000e+00,2.300000e+02,9.999843e-01,nan,3.882659e-03,5.555556e-03,7.000000e+00
