k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
0,0,1.347383e+00,9.381732e-02,1.559368e+00,1.399575e+00,2.298949e+01,2.000000e+00,2.000000e+00,2.091177e+00,nan,3.000000e-01,5.000000e-02,2.000000e+00
0,1,8.653333e-01,2.184051e-02,1.258368e+00,1.029733e+00,2.143299e+01,2.000000e+00,2.000000e+00,1.428838e+00,nan,3.000000e-01,5.000000e-02,2.000000e+00
0,2,1.122942e+00,2.630940e-02,1.521742e+00,1.257083e+00,2.130301e+01,2.000000e+00,2.000000e+00,1.734812e+00,nan,3.000000e-01,5.000000e-02,2.000000e+00
1,0,nan,nan,1.484277e+00,nan,2.319303e+01,2.000000e+00,4.000000e+00,1.431707e+00,nan,8.016071e-03,2.500000e-02,2.000000e+00
1,1,nan,nan,1.140084e+00,nan,2.207988e+01,2.000000e+00,4.000000e+00,9.714448e-01,nan,9.933501e-03,2.500000e-02,2.000000e+00
1,2,nan,nan,1.365818e+00,nan,2.196998e+01,2.000000e+00,4.000000e+00,1.135025e+00,nan,8.214273e-03,2.500000e-02,2.000000e+00
2,0,nan,nan,7.250647e-01,nan,2.309857e+01,2.000000e+00,6.000000e+00,1.400234e+00,nan,3.742936e-03,1.666667e-02,2.000000e+00
2,1,nan,nan,5.508803e-01,nan,2.241769e+01,2.000000e+00,6.000000e+00,8.615517e-01,nan,4.872936e-03,1.666667e-02,2.000000e+00
2,2,nan,nan,6.389208e-01,nan,2.230233e+01,2.000000e+00,6.000000e+00,1.064188e+00,nan,4.067568e-03,1.666667e-02,2.000000e+00
3,0,nan,nan,5.049601e-01,nan,2.306842e+01,2.000000e+00,8.000000e+00,1.201998e+00,nan,4.309960e-03,1.250000e-02,2.000000e+00
3,1,nan,nan,2.632688e-01,nan,2.264574e+01,2.000000e+00,8.000000e+00,8.144662e-01,nan,5.672739e-03,1.250000e-02,2.000000e+00
3,2,nan,nan,3.871639e-01,nan,2.257008e+01,2.000000e+00,8.000000e+00,9.382327e-01,nan,4.891060e-03,1.250000e-02,2.000000e+00
4,0,nan,nan,3.848110e-01,nan,2.306881e+01,2.000000e+00,1.000000e+01,1.088010e+00,nan,3.960709e-03,1.000000e-02,2.000000e+00
4,1,nan,nan,1.773838e-01,nan,2.281198e+01,2.000000e+00,1.000000e+01,8.140808e-01,nan,7.596798e-03,1.000000e-02,2.000000e+00
4,2,nan,nan,2.774836e-01,nan,2.279585e+01,2.000000e+00,1.000000e+01,8.579429e-01,nan,5.165771e-03,1.000000e-02,2.000000e+00
5,0,3.497941e-01,2.392897e-02,2.724315e-01,3.078586e-01,2.309473e+01,2.000000e+00,1.200000e+01,1.025002e+00,nan,3.609276e-03,8.333334e-03,2.000000e+00
5,1,1.964448e-01,4.903486e-03,1.636340e-01,3.714450e-01,2.294960e+01,2.000000e+00,1.200000e+01,8.247573e-01,nan,7.829853e-03,8.333334e-03,2.000000e+00
5,2,2.585174e-01,5.995028e-03,1.910485e-01,3.818242e-01,2.297528e+01,2.000000e+00,1.200000e+01,8.252187e-01,nan,5.005300e-03,8.333334e-03,2.000000e+00
6,0,nan,nan,2.054282e-01,nan,2.314087e+01,2.000000e+00,1.400000e+01,9.759979e-01,nan,3.745559e-03,7.142857e-03,2.000000e+00
6,1,nan,nan,1.500397e-01,nan,2.307156e+01,2.000000e+00,1.400000e+01,8.351558e-01,nan,6.235917e-03,7.142857e-03,2.000000e+00
6,2,nan,nan,1.544002e-01,nan,2.310934e+01,2.000000e+00,1.400000e+01,8.247431e-01,nan,5.341095e-03,7.142857e-03,2.000000e+00
7,0,nan,nan,1.631318e-01,nan,2.320182e+01,2.000000e+00,1.600000e+01,9.410223e-01,nan,3.803032e-03,6.250000e-03,2.000000e+00
7,1,nan,nan,1.382679e-01,nan,2.317982e+01,2.000000e+00,1.600000e+01,8.453093e-01,nan,5.206954e-03,6.250000e-03,2.000000e+00
7,2,nan,nan,1.430556e-01,nan,2.322054e+01,2.000000e+00,1.600000e+01,8.350524e-01,nan,5.059903e-03,6.250000e-03,2.000000e+00
8,0,nan,nan,1.320067e-01,nan,2.327369e+01,2.000000e+00,1.800000e+01,9.234256e-01,nan,3.783958e-03,5.555556e-03,2.000000e+00
8,1,nan,nan,1.277227e-01,nan,2.327599e+01,2.000000e+00,1.800000e+01,8.551484e-01,nan,4.464406e-03,5.555556e-03,2.000000e+00
8,2,nan,nan,1.319270e-01,nan,2.331937e+01,2.000000e+00,1.800000e+01,8.460507e-01,nan,4.314992e-03,5.555556e-03,2.000000e+00
