k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
0,0,2.001368e+00,1.393538e-01,8.618544e-01,2.042076e+00,2.267971e+01,1.000000e+00,1.000000e+00,2.953274e+00,nan,3.000000e-01,5.000000e-02,1.000000e+00
0,1,1.382138e+00,3.488436e-02,8.385281e-01,1.492532e+00,2.110888e+01,1.000000e+00,1.000000e+00,1.777394e+00,nan,3.000000e-01,5.000000e-02,1.000000e+00
0,2,1.731970e+00,4.057832e-02,9.595860e-01,1.827959e+00,2.091908e+01,1.000000e+00,1.000000e+00,2.339580e+00,nan,3.000000e-01,5.000000e-02,1.000000e+00
1,0,nan,nan,1.907999e+00,nan,2.327008e+01,3.000000e+00,4.000000e+00,1.291428e+00,nan,1.450361e-02,2.500000e-02,3.000000e+00
1,1,nan,nan,1.447268e+00,nan,2.205791e+01,3.000000e+00,4.000000e+00,1.013147e+00,nan,1.490707e-02,2.500000e-02,3.000000e+00
1,2,nan,nan,1.745251e+00,nan,2.196245e+01,3.000000e+00,4.000000e+00,1.111837e+00,nan,1.302645e-02,2.500000e-02,3.000000e+00
2,0,nan,nan,7.726217e-01,nan,2.324262e+01,4.000000e+00,8.000000e+00,1.076507e+00,nan,2.911718e-03,1.666667e-02,4.000000e+00
2,1,nan,nan,6.006711e-01,nan,2.252929e+01,4.000000e+00,8.000000e+00,8.501262e-01,nan,3.838650e-03,1.666667e-02,4.000000e+00
2,2,nan,nan,7.007821e-01,nan,2.245887e+01,4.000000e+00,8.000000e+00,9.154307e-01,nan,3.183242e-03,1.666667e-02,4.000000e+00
3,0,nan,nan,3.653393e-01,nan,2.325154e+01,4.000000e+00,1.200000e+01,9.762416e-01,nan,4.044670e-03,1.250000e-02,4.000000e+00
3,1,nan,nan,2.583126e-01,nan,2.276753e+01,4.000000e+00,1.200000e+01,8.551847e-01,nan,5.202515e-03,1.250000e-02,4.000000e+00
3,2,nan,nan,3.195975e-01,nan,2.276837e+01,4.000000e+00,1.200000e+01,8.514774e-01,nan,4.459303e-03,1.250000e-02,4.000000e+00
4,0,nan,nan,2.236577e-01,nan,2.333789e+01,5.000000e+00,1.700000e+01,9.214179e-01,nan,5.474363e-03,1.000000e-02,5.000000e+00
4,1,nan,nan,2.551102e-01,nan,2.296985e+01,5.000000e+00,1.700000e+01,8.765828e-01,nan,7.742559e-03,1.000000e-02,5.000000e+00
4,2,nan,nan,2.625107e-01,nan,2.298692e+01,5.000000e+00,1.700000e+01,8.627576e-01,nan,6.257871e-03,1.000000e-02,5.000000e+00
5,0,1.483140e-01,1.009635e-02,1.736580e-01,2.597374e-01,2.346785e+01,5.000000e+00,2.200000e+01,9.147784e-01,nan,6.209888e-03,8.333334e-03,5.000000e+00
5,1,6.146612e-02,1.530801e-03,2.180185e-01,2.994596e-01,2.313290e+01,5.000000e+00,2.200000e+01,8.963159e-01,nan,5.444270e-03,8.333334e-03,5.000000e+00
5,2,6.304827e-02,1.459357e-03,2.231841e-01,3.056363e-01,2.315308e+01,5.000000e+00,2.200000e+01,8.851194e-01,nan,5.290790e-03,8.333334e-03,5.000000e+00
6,0,nan,nan,1.760644e-01,nan,2.362429e+01,5.000000e+00,2.700000e+01,9.456190e-01,nan,5.875964e-03,7.142857e-03,5.000000e+00
6,1,nan,nan,1.937443e-01,nan,2.326786e+01,5.000000e+00,2.700000e+01,9.148739e-01,nan,4.680374e-03,7.142857e-03,5.000000e+00
6,2,nan,nan,1.994036e-01,nan,2.329141e+01,5.000000e+00,2.700000e+01,9.092667e-01,nan,4.572047e-03,7.142857e-03,5.000000e+00
7,0,nan,nan,1.771906e-01,nan,2.378039e+01,6.000000e+00,3.300000e+01,9.967223e-01,nan,4.437298e-03,6.250000e-03,6.000000e+00
7,1,nan,nan,1.845241e-01,nan,2.338670e+01,6.000000e+00,3.300000e+01,9.335160e-01,nan,4.032377e-03,6.250000e-03,6.000000e+00
7,2,nan,nan,1.902476e-01,nan,2.341358e+01,6.000000e+00,3.300000e+01,9.355277e-01,nan,3.917934e-03,6.250000e-03,6.000000e+00
8,0,nan,nan,1.420583e-01,nan,2.390790e+01,6.000000e+00,3.900000e+01,1.025332e+00,nan,3.483728e-03,5.555556e-03,6.000000e+00
8,1,nan,nan,1.619286e-01,nan,2.348245e+01,6.000000e+00,3.900000e+01,9.508001e-01,nan,3.345276e-03,5.555556e-03,6.000000e+00
8,2,nan,nan,1.676830e-01,nan,2.351252e+01,6.000000e+00,3.900000e+01,9.614139e-01,nan,3.244635e-03,5.555556e-03,6.000000e+00
9,0,nan,nan,1.082749e-01,nan,2.400397e+01,6.000000e+00,4.500000e+01,1.031670e+00,nan,3.519683e-03,5.000000e-03,6.000000e+00
9,1,nan,nan,1.456002e-01,nan,2.356078e+01,6.000000e+00,4.500000e+01,9.671268e-01,nan,3.087782e-03,5.000000e-03,6.000000e+00
9,2,nan,nan,1.513206e-01,nan,2.359370e+01,6.000000e+00,4.500000e+01,9.869004e-01,nan,2.981816e-03,5.000000e-03,6.000000e+00
10,0,7.402200e-02,4.971475e-03,9.065048e-02,1.265325e-01,2.407268e+01,6.000000e+00,5.100000e+01,1.026215e+00,nan,3.816426e-03,4.545454e-03,6.000000e+00
10,1,2.545255e-02,6.296386e-04,1.313831e-01,1.678497e-01,2.362461e+01,6.000000e+00,5.100000e+01,9.825727e-01,nan,2.838068e-03,4.545454e-03,6.000000e+00
10,2,2.744821e-02,6.315041e-04,1.337809e-01,1.645497e-01,2.366446e+01,6.000000e+00,5.100000e+01,1.006305e+00,nan,2.730780e-03,4.545454e-03,6.000000e+00
11,0,nan,nan,8.441152e-02,nan,2.412141e+01,6.000000e+00,5.700000e+01,1.015968e+00,nan,3.830341e-03,4.166667e-03,6.000000e+00
11,1,nan,nan,1.195327e-01,nan,2.367654e+01,6.000000e+00,5.700000e+01,9.973177e-01,nan,2.642823e-03,4.166667e-03,6.000000e+00
11,2,nan,nan,1.157834e-01,nan,2.373867e+01,6.000000e+00,5.700000e+01,1.008976e+00,nan,2.595454e-03,4.166667e-03,6.000000e+00
12,0,nan,nan,8.150238e-02,nan,2.415989e+01,7.000000e+00,6.400000e+01,1.005894e+00,nan,3.504948e-03,3.846154e-03,7.000000e+00
12,1,nan,nan,1.093886e-01,nan,2.373250e+01,7.000000e+00,6.400000e+01,1.003612e+00,nan,2.475121e-03,3.846154e-03,7.000000e+00
12,2,nan,nan,1.113710e-01,nan,2.381948e+01,7.000000e+00,6.400000e+01,1.002605e+00,nan,2.555271e-03,3.846154e-03,7.000000e+00
13,0,nan,nan,7.132166e-02,nan,2.419396e+01,7.000000e+00,7.100000e+01,1.000502e+00,nan,3.129995e-03,3.571429e-03,7.000000e+00
13,1,nan,nan,9.883458e-02,nan,2.379254e+01,7.000000e+00,7.100000e+01,1.001304e+00,nan,2.332072e-03,3.571429e-03,7.000000e+00
13,2,nan,nan,1.014536e-01,nan,2.389151e+01,7.000000e+00,7.100000e+01,9.985312e-01,nan,2.290561e-03,3.571429e-03,7.000000e+00
14,0,nan,nan,6.316627e-02,nan,2.422789e+01,7.000000e+00,7.800000e+01,9.989182e-01,nan,3.115775e-03,3.333333e-03,7.000000e+00
14,1,nan,nan,9.177437e-02,nan,2.384614e+01,7.000000e+00,7.800000e+01,9.993187e-01,nan,2.248426e-03,3.333333e-03,7.000000e+00
14,2,nan,nan,9.333746e-02,nan,2.395222e+01,7.000000e+00,7.800000e+01,9.985261e-01,nan,2.190383e-03,3.333333e-03,7.000000e+00
15,0,1.807155e-02,1.206136e-03,5.767469e-02,6.901839e-02,2.426162e+01,7.000000e+00,8.500000e+01,9.994575e-01,nan,3.092038e-03,3.125000e-03,7.000000e+00
15,1,1.157349e-02,2.853958e-04,8.506136e-02,1.056899e-01,2.389032e+01,7.000000e+00,8.500000e+01,9.995206e-01,nan,2.128181e-03,3.125000e-03,7.000000e+00
15,2,1.176006e-02,2.698064e-04,8.646572e-02,1.069991e-01,2.400465e+01,7.000000e+00,8.500000e+01,1.000002e+00,nan,2.092541e-03,3.125000e-03,7.000000e+00
16,0,nan,nan,5.333069e-02,nan,2.429381e+01,7.000000e+00,9.200000e+01,1.000792e+00,nan,2.999763e-03,2.941177e-03,7.000000e+00
16,1,nan,nan,7.927190e-02,nan,2.392855e+01,7.000000e+00,9.200000e+01,1.000153e+00,nan,2.033948e-03,2.941177e-03,7.000000e+00
16,2,nan,nan,8.051879e-02,nan,2.405234e+01,7.000000e+00,9.200000e+01,1.000701e+00,nan,2.000913e-03,2.941177e-03,7.000000e+00
17,0,nan,nan,4.939160e-02,nan,2.432323e+01,7.000000e+00,9.900000e+01,1.001944e+00,nan,2.893662e-03,2.777778e-03,7.000000e+00
17,1,nan,nan,7.421535e-02,nan,2.396326e+01,7.000000e+00,9.900000e+01,1.000240e+00,nan,1.946730e-03,2.777778e-03,7.000000e+00
17,2,nan,nan,7.535618e-02,nan,2.409643e+01,7.000000e+00,9.900000e+01,1.000450e+00,nan,1.916584e-03,2.777778e-03,7.000000e+00
18,0,nan,nan,4.580584e-02,nan,2.434918e+01,7.000000e+00,1.060000e+02,1.002497e+00,nan,2.804205e-03,2.631579e-03,7.000000e+00
18,1,nan,nan,6.986638e-02,nan,2.399473e+01,7.000000e+00,1.060000e+02,1.000046e+00,nan,1.866247e-03,2.631579e-03,7.000000e+00
18,2,nan,nan,7.088479e-02,nan,2.413669e+01,7.000000e+00,1.060000e+02,9.999937e-01,nan,1.837993e-03,2.631579e-03,7.000000e+00
19,0,nan,nan,4.261837e-02,nan,2.437132e+01,7.000000e+00,1.130000e+02,1.002545e+00,nan,2.728910e-03,2.500000e-03,7.000000e+00
19,1,nan,nan,6.602301e-02,nan,2.402268e+01,7.000000e+00,1.130000e+02,9.999558e-01,nan,1.789130e-03,2.500000e-03,7.000000e+00
19,2,nan,nan,6.695044e-02,nan,2.417282e+01,7.000000e+00,1.130000e+02,9.998162e-01,nan,1.763425e-03,2.500000e-03,7.000000e+00
20,0,1.138986e-02,7.576553e-04,4.115813e-02,4.775877e-02,2.439052e+01,8.000000e+00,1.210000e+02,1.002233e+00,nan,2.660325e-03,2.380952e-03,8.000000e+00
20,1,6.250117e-03,1.538629e-04,6.476162e-02,7.780210e-02,2.404825e+01,8.000000e+00,1.210000e+02,1.000018e+00,nan,1.717260e-03,2.380952e-03,8.000000e+00
20,2,6.411239e-03,1.468654e-04,6.563652e-02,7.855368e-02,2.420624e+01,8.000000e+00,1.210000e+02,9.999295e-01,nan,1.693472e-03,2.380952e-03,8.000000e+00
21,0,nan,nan,3.815237e-02,nan,2.440654e+01,8.000000e+00,1.290000e+02,1.001952e+00,nan,2.509973e-03,2.272727e-03,8.000000e+00
21,1,nan,nan,6.135929e-02,nan,2.407092e+01,8.000000e+00,1.290000e+02,1.000024e+00,nan,1.595170e-03,2.272727e-03,8.000000e+00
21,2,nan,nan,6.206711e-02,nan,2.423630e+01,8.000000e+00,1.290000e+02,1.000067e+00,nan,1.573907e-03,2.272727e-03,8.000000e+00
22,0,nan,nan,3.557844e-02,nan,2.441998e+01,8.000000e+00,1.370000e+02,1.001660e+00,nan,2.477381e-03,2.173913e-03,8.000000e+00
22,1,nan,nan,5.844891e-02,nan,2.409104e+01,8.000000e+00,1.370000e+02,1.000019e+00,nan,1.540402e-03,2.173913e-03,8.000000e+00
22,2,nan,nan,5.901893e-02,nan,2.426366e+01,8.000000e+00,1.370000e+02,1.000094e+00,nan,1.522835e-03,2.173913e-03,8.000000e+00
23,0,nan,nan,3.330322e-02,nan,2.443124e+01,8.000000e+00,1.450000e+02,1.001441e+00,nan,2.439836e-03,2.083333e-03,8.000000e+00
23,1,nan,nan,5.580435e-02,nan,2.410896e+01,8.000000e+00,1.450000e+02,1.000013e+00,nan,1.485153e-03,2.083333e-03,8.000000e+00
23,2,nan,nan,5.619432e-02,nan,2.428861e+01,8.000000e+00,1.450000e+02,1.000075e+00,nan,1.470809e-03,2.083333e-03,8.000000e+00
24,0,nan,nan,3.121074e-02,nan,2.444062e+01,8.000000e+00,1.530000e+02,1.001255e+00,nan,2.402170e-03,2.000000e-03,8.000000e+00
24,1,nan,nan,5.341104e-02,nan,2.412483e+01,8.000000e+00,1.530000e+02,1.000018e+00,nan,1.433580e-03,2.000000e-03,8.000000e+00
24,2,nan,nan,5.361522e-02,nan,2.431129e+01,8.000000e+00,1.530000e+02,1.000058e+00,nan,1.423631e-03,2.000000e-03,8.000000e+00
25,0,7.976122e-03,5.295192e-04,2.930498e-02,3.465748e-02,2.444839e+01,8.000000e+00,1.610000e+02,1.001115e+00,nan,2.369841e-03,1.923077e-03,8.000000e+00
25,1,4.937052e-03,1.214077e-04,5.123663e-02,6.164547e-02,2.413881e+01,8.000000e+00,1.610000e+02,1.000013e+00,nan,1.384816e-03,1.923077e-03,8.000000e+00
25,2,4.988924e-03,1.141723e-04,5.120846e-02,6.141957e-02,2.433167e+01,8.000000e+00,1.610000e+02,1.000057e+00,nan,1.379543e-03,1.923077e-03,8.000000e+00
