k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
0,0,7.151976e-02,4.971979e-03,3.354671e+00,3.504052e-01,2.604216e+01,2.130000e+02,2.130000e+02,1.006126e+00,nan,3.000000e-01,5.000000e-02,2.130000e+02
0,1,4.046903e-04,1.031176e-05,2.103483e+00,6.240626e-01,2.042764e+01,2.130000e+02,2.130000e+02,1.000006e+00,nan,3.000000e-01,5.000000e-02,2.130000e+02
0,2,2.418896e-03,5.713316e-05,2.495562e+00,6.326548e-01,2.042796e+01,2.130000e+02,2.130000e+02,1.000093e+00,nan,3.000000e-01,5.000000e-02,2.130000e+02
1,0,nan,nan,3.807919e-01,nan,2.617469e+01,9.800000e+01,3.110000e+02,9.989107e-01,1.609399e-03,3.726148e-03,2.500000e-02,9.800000e+01
1,1,nan,nan,5.201926e-01,nan,2.085641e+01,9.800000e+01,3.110000e+02,1.000001e+00,3.436971e-07,5.942524e-03,2.500000e-02,9.800000e+01
1,2,nan,nan,5.220023e-01,nan,2.086683e+01,9.800000e+01,3.110000e+02,1.000020e+00,1.051701e-05,5.008892e-03,2.500000e-02,9.800000e+01
2,0,nan,nan,1.570898e-01,nan,2.621628e+01,8.100000e+01,3.920000e+02,9.967578e-01,nan,1.458948e-02,1.666667e-02,8.100000e+01
2,1,nan,nan,4.056986e-01,nan,2.119910e+01,8.100000e+01,3.920000e+02,1.000001e+00,nan,1.067980e-02,1.666667e-02,8.100000e+01
2,2,nan,nan,4.090084e-01,nan,2.121637e+01,8.100000e+01,3.920000e+02,1.000008e+00,nan,1.064278e-02,1.666667e-02,8.100000e+01
3,0,nan,nan,1.328101e-01,nan,2.629352e+01,1.200000e+01,4.040000e+02,1.001101e+00,nan,1.989309e-02,1.250000e-02,1.200000e+01
3,1,nan,nan,3.358427e-01,nan,2.148903e+01,1.200000e+01,4.040000e+02,1.000154e+00,nan,7.702763e-03,1.250000e-02,1.200000e+01
3,2,nan,nan,3.379409e-01,nan,2.151079e+01,1.200000e+01,4.040000e+02,1.001122e+00,nan,7.640431e-03,1.250000e-02,1.200000e+01
4,0,nan,nan,9.966843e-02,nan,2.633014e+01,1.000000e+01,4.140000e+02,1.001470e+00,nan,1.505910e-02,1.000000e-02,1.000000e+01
4,1,nan,nan,2.869165e-01,nan,2.173554e+01,1.000000e+01,4.140000e+02,1.000124e+00,nan,5.955169e-03,1.000000e-02,1.000000e+01
4,2,nan,nan,2.891872e-01,nan,2.176321e+01,1.000000e+01,4.140000e+02,9.999776e-01,nan,5.918195e-03,1.000000e-02,1.000000e+01
5,0,7.327162e-02,4.974341e-03,7.624801e-02,1.140885e-01,2.636423e+01,6.000000e+00,4.200000e+02,1.003131e+00,nan,1.393509e-02,8.333334e-03,6.000000e+00
5,1,4.215333e-02,1.054273e-03,2.232581e-01,2.929639e-01,2.192823e+01,6.000000e+00,4.200000e+02,1.000612e+00,nan,4.840743e-03,8.333334e-03,6.000000e+00
5,2,4.280585e-02,9.941063e-04,2.251434e-01,2.958406e-01,2.195996e+01,6.000000e+00,4.200000e+02,1.000073e+00,nan,4.802734e-03,8.333334e-03,6.000000e+00
