k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
0,0,1.438376e-02,9.999442e-04,3.364306e+00,3.461275e-01,2.600254e+01,7.090000e+02,7.090000e+02,1.001482e+00,nan,3.000000e-01,5.000000e-02,7.090000e+02
0,1,6.030783e-05,1.536681e-06,2.103486e+00,6.240618e-01,2.042764e+01,7.090000e+02,7.090000e+02,1.000003e+00,nan,3.000000e-01,5.000000e-02,7.090000e+02
0,2,2.401566e-04,5.672382e-06,2.495632e+00,6.326441e-01,2.042791e+01,7.090000e+02,7.090000e+02,1.000012e+00,nan,3.000000e-01,5.000000e-02,7.090000e+02
1,0,nan,nan,3.783343e-01,nan,2.623142e+01,3.410000e+02,1.050000e+03,1.000668e+00,1.572258e-03,3.715476e-03,2.500000e-02,3.410000e+02
1,1,nan,nan,5.201930e-01,nan,2.085640e+01,3.410000e+02,1.050000e+03,1.000001e+00,2.950279e-07,5.942517e-03,2.500000e-02,3.410000e+02
1,2,nan,nan,5.220193e-01,nan,2.086682e+01,3.410000e+02,1.050000e+03,1.000004e+00,1.314907e-05,5.008751e-03,2.500000e-02,3.410000e+02
2,0,nan,nan,1.545006e-01,nan,2.629720e+01,1.690000e+02,1.219000e+03,9.996932e-01,nan,1.468425e-02,1.666667e-02,1.690000e+02
2,1,nan,nan,4.056988e-01,nan,2.119909e+01,1.690000e+02,1.219000e+03,1.000001e+00,nan,1.067980e-02,1.666667e-02,1.690000e+02
2,2,nan,nan,4.090087e-01,nan,2.121638e+01,1.690000e+02,1.219000e+03,1.000003e+00,nan,1.064243e-02,1.666667e-02,1.690000e+02
3,0,nan,nan,1.315927e-01,nan,2.636960e+01,4.700000e+01,1.266000e+03,1.001284e+00,nan,2.022646e-02,1.250000e-02,4.700000e+01
3,1,nan,nan,3.443149e-01,nan,2.149662e+01,4.700000e+01,1.266000e+03,1.000001e+00,nan,7.702759e-03,1.250000e-02,4.700000e+01
3,2,nan,nan,3.464455e-01,nan,2.151927e+01,4.700000e+01,1.266000e+03,1.000010e+00,nan,7.640425e-03,1.250000e-02,4.700000e+01
4,0,nan,nan,9.946536e-02,nan,2.639775e+01,6.600000e+01,1.332000e+03,1.000484e+00,nan,1.519841e-02,1.000000e-02,6.600000e+01
4,1,nan,nan,2.978937e-01,nan,2.175283e+01,6.600000e+01,1.332000e+03,1.000001e+00,nan,5.808637e-03,1.000000e-02,6.600000e+01
4,2,nan,nan,3.003563e-01,nan,2.178087e+01,6.600000e+01,1.332000e+03,1.000007e+00,nan,5.772915e-03,1.000000e-02,6.600000e+01
5,0,1.470732e-02,9.984949e-04,8.415051e-02,9.217166e-02,2.642232e+01,3.900000e+01,1.371000e+03,1.000631e+00,nan,1.396354e-02,8.333334e-03,3.900000e+01
5,1,9.045410e-05,2.262022e-06,2.599237e-01,2.846114e-01,2.197828e+01,3.900000e+01,1.371000e+03,1.000002e+00,nan,4.662365e-03,8.333334e-03,3.900000e+01
5,2,4.498779e-04,1.044664e-05,2.619697e-01,2.873178e-01,2.201002e+01,3.900000e+01,1.371000e+03,1.000011e+00,nan,4.624138e-03,8.333334e-03,3.900000e+01
6,0,nan,nan,7.002124e-02,nan,2.643464e+01,3.800000e+01,1.409000e+03,1.000375e+00,nan,1.212599e-02,7.142857e-03,3.800000e+01
6,1,nan,nan,2.301202e-01,nan,2.217831e+01,3.800000e+01,1.409000e+03,1.000001e+00,nan,3.925799e-03,7.142857e-03,3.800000e+01
6,2,nan,nan,2.313402e-01,nan,2.221273e+01,3.800000e+01,1.409000e+03,1.000012e+00,nan,3.895138e-03,7.142857e-03,3.800000e+01
7,0,nan,nan,6.043134e-02,nan,2.644452e+01,3.700000e+01,1.446000e+03,1.000390e+00,nan,1.115733e-02,6.250000e-03,3.700000e+01
7,1,nan,nan,2.056144e-01,nan,2.235731e+01,3.700000e+01,1.446000e+03,1.000002e+00,nan,3.394966e-03,6.250000e-03,3.700000e+01
7,2,nan,nan,2.061525e-01,nan,2.239355e+01,3.700000e+01,1.446000e+03,1.000009e+00,nan,3.377061e-03,6.250000e-03,3.700000e+01
8,0,nan,nan,5.241538e-02,nan,2.644982e+01,3.000000e+01,1.476000e+03,1.000324e+00,nan,1.021463e-02,5.555556e-03,3.000000e+01
8,1,nan,nan,1.854074e-01,nan,2.251875e+01,3.000000e+01,1.476000e+03,1.000003e+00,nan,3.002143e-03,5.555556e-03,3.000000e+01
8,2,nan,nan,1.855409e-01,nan,2.255559e+01,3.000000e+01,1.476000e+03,1.000013e+00,nan,2.994307e-03,5.555556e-03,3.000000e+01
9,0,nan,nan,4.614714e-02,nan,2.645298e+01,2.400000e+01,1.500000e+03,1.000315e+00,nan,9.539186e-03,5.000000e-03,2.400000e+01
9,1,nan,nan,1.685924e-01,nan,2.266485e+01,2.400000e+01,1.500000e+03,1.000004e+00,nan,2.696765e-03,5.000000e-03,2.400000e+01
9,2,nan,nan,1.682987e-01,nan,2.270179e+01,2.400000e+01,1.500000e+03,1.000024e+00,nan,2.694824e-03,5.000000e-03,2.400000e+01
