k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
0,0,1.379466e+00,9.589906e-02,2.879123e+00,1.366817e+00,2.757661e+01,5.000000e+00,5.000000e+00,1.425791e+00,nan,3.000000e-01,5.000000e-02,5.000000e+00
0,1,3.106354e-01,7.915184e-03,2.040277e+00,6.487706e-01,2.035947e+01,5.000000e+00,5.000000e+00,1.063638e+00,nan,3.000000e-01,5.000000e-02,5.000000e+00
0,2,4.901178e-01,1.157635e-02,2.386794e+00,7.230749e-01,2.031056e+01,5.000000e+00,5.000000e+00,1.147558e+00,nan,3.000000e-01,5.000000e-02,5.000000e+00
1,0,nan,nan,9.719240e-01,nan,2.701859e+01,5.000000e+00,1.000000e+01,1.273237e+00,nan,4.341600e-03,2.500000e-02,5.000000e+00
1,1,nan,nan,7.247831e-01,nan,2.088052e+01,5.000000e+00,1.000000e+01,8.732476e-01,nan,6.126619e-03,2.500000e-02,5.000000e+00
1,2,nan,nan,8.045731e-01,nan,2.086841e+01,5.000000e+00,1.000000e+01,9.184970e-01,nan,5.237150e-03,2.500000e-02,5.000000e+00
2,0,nan,nan,5.507339e-01,nan,2.664202e+01,5.000000e+00,1.500000e+01,1.162369e+00,nan,5.716039e-03,1.666667e-02,5.000000e+00
2,1,nan,nan,3.830602e-01,nan,2.120067e+01,5.000000e+00,1.500000e+01,8.938524e-01,nan,7.665128e-03,1.666667e-02,5.000000e+00
2,2,nan,nan,4.233363e-01,nan,2.126070e+01,5.000000e+00,1.500000e+01,8.759940e-01,nan,6.904973e-03,1.666667e-02,5.000000e+00
3,0,nan,nan,3.900978e-01,nan,2.645409e+01,5.000000e+00,2.000000e+01,1.100941e+00,nan,5.674246e-03,1.250000e-02,5.000000e+00
3,1,nan,nan,3.300113e-01,nan,2.142518e+01,5.000000e+00,2.000000e+01,9.538334e-01,nan,8.157986e-03,1.250000e-02,5.000000e+00
3,2,nan,nan,3.220860e-01,nan,2.152837e+01,5.000000e+00,2.000000e+01,9.039373e-01,nan,7.381839e-03,1.250000e-02,5.000000e+00
4,0,nan,nan,2.841223e-01,nan,2.636774e+01,5.000000e+00,2.500000e+01,1.068993e+00,nan,5.126920e-03,1.000000e-02,5.000000e+00
4,1,nan,nan,2.888109e-01,nan,2.161723e+01,5.000000e+00,2.500000e+01,1.008219e+00,nan,6.060399e-03,1.000000e-02,5.000000e+00
4,2,nan,nan,3.155103e-01,nan,2.172616e+01,5.000000e+00,2.500000e+01,9.930152e-01,nan,6.209522e-03,1.000000e-02,5.000000e+00
