k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
0,0,2.847572e+00,1.979602e-01,9.913626e-01,2.881853e+00,2.626147e+01,1.000000e+00,1.000000e+00,3.280383e+00,nan,3.000000e-01,5.000000e-02,1.000000e+00
0,1,1.562035e+00,3.980162e-02,9.051238e-01,1.679542e+00,1.977858e+01,1.000000e+00,1.000000e+00,1.840141e+00,nan,3.000000e-01,5.000000e-02,1.000000e+00
0,2,1.857633e+00,4.387638e-02,1.027241e+00,1.965625e+00,1.964246e+01,1.000000e+00,1.000000e+00,2.393605e+00,nan,3.000000e-01,5.000000e-02,1.000000e+00
1,0,nan,nan,2.214465e+00,nan,2.772244e+01,3.000000e+00,4.000000e+00,1.593827e+00,nan,1.260891e-02,2.500000e-02,3.000000e+00
1,1,nan,nan,1.557131e+00,nan,2.059798e+01,3.000000e+00,4.000000e+00,1.050527e+00,nan,1.381026e-02,2.500000e-02,3.000000e+00
1,2,nan,nan,1.809556e+00,nan,2.054881e+01,3.000000e+00,4.000000e+00,1.152905e+00,nan,1.216851e-02,2.500000e-02,3.000000e+00
2,0,nan,nan,1.016991e+00,nan,2.714592e+01,4.000000e+00,8.000000e+00,1.380821e+00,nan,2.508757e-03,1.666667e-02,4.000000e+00
2,1,nan,nan,7.013526e-01,nan,2.108455e+01,4.000000e+00,8.000000e+00,8.769059e-01,nan,3.567815e-03,1.666667e-02,4.000000e+00
2,2,nan,nan,7.677450e-01,nan,2.106274e+01,4.000000e+00,8.000000e+00,9.529660e-01,nan,3.070121e-03,1.666667e-02,4.000000e+00
3,0,nan,nan,6.219025e-01,nan,2.672877e+01,4.000000e+00,1.200000e+01,1.228596e+00,nan,3.072791e-03,1.250000e-02,4.000000e+00
3,1,nan,nan,3.156289e-01,nan,2.137317e+01,4.000000e+00,1.200000e+01,8.662263e-01,nan,4.455676e-03,1.250000e-02,4.000000e+00
3,2,nan,nan,3.970990e-01,nan,2.141115e+01,4.000000e+00,1.200000e+01,8.825725e-01,nan,4.070362e-03,1.250000e-02,4.000000e+00
4,0,nan,nan,4.675588e-01,nan,2.654915e+01,5.000000e+00,1.700000e+01,1.126428e+00,nan,3.215938e-03,1.000000e-02,5.000000e+00
4,1,nan,nan,3.293703e-01,nan,2.159154e+01,5.000000e+00,1.700000e+01,9.209980e-01,nan,6.336556e-03,1.000000e-02,5.000000e+00
4,2,nan,nan,3.132684e-01,nan,2.168314e+01,5.000000e+00,1.700000e+01,8.876447e-01,nan,5.036527e-03,1.000000e-02,5.000000e+00
5,0,3.690131e-01,2.514399e-02,3.303812e-01,3.806464e-01,2.646551e+01,5.000000e+00,2.200000e+01,1.086598e+00,nan,2.970512e-03,8.333334e-03,5.000000e+00
